,Unnamed: 0,省,省确诊,省治愈,省死亡,市,新增确诊,新增治愈,新增死亡,确诊,治愈,死亡,日期
78,0.0,江西省,7,0,0,抚州,1,0,0,1,0,0,2020-01-24
79,0.0,江西省,7,0,0,萍乡,1,0,0,1,0,0,2020-01-24
80,0.0,江西省,7,0,0,九江,1,0,0,1,0,0,2020-01-24
81,0.0,江西省,7,0,0,新余,1,0,0,1,0,0,2020-01-24
82,0.0,江西省,7,0,0,吉安,1,0,0,1,0,0,2020-01-24
83,0.0,北京市,36,1,0,外地来京人员,10,0,0,10,0,0,2020-01-24
84,0.0,北京市,36,1,0,海淀,6,0,0,6,0,0,2020-01-24
85,0.0,北京市,36,1,0,朝阳,5,0,0,5,0,0,2020-01-24
86,0.0,北京市,36,1,0,西城,4,0,0,4,0,0,2020-01-24
87,0.0,北京市,36,1,0,昌平,3,0,0,3,0,0,2020-01-24
88,0.0,北京市,36,1,0,大兴,2,1,0,2,1,0,2020-01-24
89,0.0,北京市,36,1,0,丰台,2,0,0,2,0,0,2020-01-24
90,0.0,北京市,36,1,0,通州,2,0,0,2,0,0,2020-01-24
91,0.0,北京市,36,1,0,石景山,1,0,0,1,0,0,2020-01-24
92,0.0,北京市,36,1,0,顺义,1,0,0,1,0,0,2020-01-24
93,0.0,四川省,15,0,0,成都,7,0,0,7,0,0,2020-01-24
94,0.0,四川省,15,0,0,广安,2,0,0,2,0,0,2020-01-24
95,0.0,四川省,15,0,0,绵阳,2,0,0,2,0,0,2020-01-24
96,0.0,四川省,15,0,0,达州,1,0,0,1,0,0,2020-01-24
97,0.0,四川省,15,0,0,德阳,1,0,0,1,0,0,2020-01-24
98,0.0,四川省,15,0,0,遂宁,1,0,0,1,0,0,2020-01-24
99,0.0,四川省,15,0,0,雅安,1,0,0,1,0,0,2020-01-24
100,0.0,贵州省,3,0,0,贵阳,1,0,0,1,0,0,2020-01-24
101,0.0,贵州省,3,0,0,铜仁,1,0,0,1,0,0,2020-01-24
102,0.0,贵州省,3,0,0,黔南州,1,0,0,1,0,0,2020-01-24
103,0.0,河南省,9,0,0,郑州,3,0,0,3,0,0,2020-01-24
104,0.0,河南省,9,0,0,巩义,2,0,0,2,0,0,2020-01-24
105,0.0,河南省,9,0,0,洛阳,1,0,0,1,0,0,2020-01-24
106,0.0,河南省,9,0,0,三门峡,1,0,0,1,0,0,2020-01-24
107,0.0,河南省,9,0,0,信阳,1,0,0,1,0,0,2020-01-24
108,0.0,河南省,9,0,0,周口,1,0,0,1,0,0,2020-01-24
109,0.0,福建省,10,0,0,福州,5,0,0,5,0,0,2020-01-24
110,0.0,福建省,10,0,0,厦门,3,0,0,3,0,0,2020-01-24
111,0.0,福建省,10,0,0,泉州,1,0,0,1,0,0,2020-01-24
112,0.0,福建省,10,0,0,宁德,1,0,0,1,0,0,2020-01-24
113,0.0,海南省,8,0,0,海口,3,0,0,3,0,0,2020-01-24
114,0.0,海南省,8,0,0,三亚,2,0,0,2,0,0,2020-01-24
115,0.0,海南省,8,0,0,万宁,2,0,0,2,0,0,2020-01-24
116,0.0,海南省,8,0,0,临高县,1,0,0,1,0,0,2020-01-24
117,0.0,广西壮族自治区,13,0,0,北海,6,0,0,6,0,0,2020-01-24
118,0.0,广西壮族自治区,13,0,0,柳州,2,0,0,2,0,0,2020-01-24
119,0.0,广西壮族自治区,13,0,0,桂林,2,0,0,2,0,0,2020-01-24
120,0.0,广西壮族自治区,13,0,0,梧州,1,0,0,1,0,0,2020-01-24
121,0.0,广西壮族自治区,13,0,0,百色,1,0,0,1,0,0,2020-01-24
122,0.0,广西壮族自治区,13,0,0,河池,1,0,0,1,0,0,2020-01-24
123,0.0,吉林省,3,0,0,长春,1,0,0,1,0,0,2020-01-24
124,0.0,吉林省,3,0,0,吉林,1,0,0,1,0,0,2020-01-24
125,0.0,吉林省,3,0,0,松原,1,0,0,1,0,0,2020-01-24
126,0.0,重庆市,27,0,0,万州区,3,0,0,3,0,0,2020-01-24
127,0.0,重庆市,27,0,0,巫山县,3,0,0,3,0,0,2020-01-24
128,0.0,重庆市,27,0,0,长寿区,3,0,0,3,0,0,2020-01-24
129,0.0,重庆市,27,0,0,垫江县,2,0,0,2,0,0,2020-01-24
