name,value,date
浙江省,538,2020-01-31
安徽省,237,2020-01-31
江苏省,168,2020-01-31
云南省,83,2020-01-31
陕西省,101,2020-02-01
江西省,286,2020-02-01
北京市,168,2020-02-01
四川省,207,2020-02-01
河南省,422,2020-02-01
福建省,144,2020-02-01
吉林省,17,2020-02-01
广西壮族自治区,100,2020-02-01
重庆市,247,2020-02-01
山西省,47,2020-02-01
甘肃省,40,2020-02-01
辽宁省,64,2020-02-01
海南省,62,2020-02-01
新疆维吾尔自治区,18,2020-02-01
湖北省,7153,2020-02-01
上海市,169,2020-02-01
青海省,9,2020-02-01
山东省,206,2020-02-01
湖南省,389,2020-02-01
内蒙古自治区,23,2020-02-01
天津市,41,2020-02-01
宁夏回族自治区,26,2020-02-01
广东省,535,2020-02-01
黑龙江省,80,2020-02-01
河北省,96,2020-02-01
浙江省,599,2020-02-01
安徽省,297,2020-02-01
江苏省,202,2020-02-01
云南省,93,2020-02-01
河南省,493,2020-02-02
江西省,333,2020-02-02
北京市,191,2020-02-02
四川省,231,2020-02-02
贵州省,38,2020-02-02
福建省,159,2020-02-02
陕西省,116,2020-02-02
广西壮族自治区,111,2020-02-02
吉林省,23,2020-02-02
重庆市,275,2020-02-02
山西省,56,2020-02-02
新疆维吾尔自治区,21,2020-02-02
海南省,64,2020-02-02
辽宁省,70,2020-02-02
西藏自治区,1,2020-02-02
青海省,11,2020-02-02
山东省,230,2020-02-02
湖南省,463,2020-02-02
内蒙古自治区,27,2020-02-02
广东省,632,2020-02-02
天津市,48,2020-02-02
宁夏回族自治区,28,2020-02-02
湖北省,9074,2020-02-02
黑龙江省,95,2020-02-02
河北省,104,2020-02-02
浙江省,661,2020-02-02
安徽省,340,2020-02-02
江苏省,236,2020-02-02
上海市,182,2020-02-02
云南省,105,2020-02-02
陕西省,128,2020-02-03
江西省,391,2020-02-03
北京市,212,2020-02-03
四川省,254,2020-02-03
贵州省,46,2020-02-03
河南省,566,2020-02-03
吉林省,31,2020-02-03
海南省,72,2020-02-03
广西壮族自治区,127,2020-02-03
重庆市,312,2020-02-03
山西省,66,2020-02-03
甘肃省,51,2020-02-03
辽宁省,74,2020-02-03
福建省,179,2020-02-03
新疆维吾尔自治区,24,2020-02-03
湖北省,11177,2020-02-03
上海市,203,2020-02-03
青海省,13,2020-02-03
山东省,259,2020-02-03
湖南省,521,2020-02-03
内蒙古自治区,34,2020-02-03
天津市,60,2020-02-03
宁夏回族自治区,31,2020-02-03
广东省,725,2020-02-03
黑龙江省,121,2020-02-03
河北省,113,2020-02-03
浙江省,724,2020-02-03
安徽省,408,2020-02-03
江苏省,271,2020-02-03
云南省,114,2020-02-03
贵州省,58,2020-02-04
陕西省,142,2020-02-04
江西省,476,2020-02-04
北京市,228,2020-02-04
四川省,282,2020-02-04
河南省,675,2020-02-04
甘肃省,57,2020-02-04
海南省,80,2020-02-04
广西壮族自治区,139,2020-02-04
吉林省,42,2020-02-04
重庆市,344,2020-02-04
山西省,74,2020-02-04
新疆维吾尔自治区,29,2020-02-04
福建省,194,2020-02-04
辽宁省,81,2020-02-04
青海省,15,2020-02-04
上海市,219,2020-02-04
山东省,275,2020-02-04
湖南省,593,2020-02-04
内蒙古自治区,35,2020-02-04
广东省,813,2020-02-04
天津市,67,2020-02-04
宁夏回族自治区,34,2020-02-04
湖北省,13522,2020-02-04
黑龙江省,155,2020-02-04
河北省,126,2020-02-04
浙江省,829,2020-02-04
安徽省,480,2020-02-04
江苏省,308,2020-02-04
云南省,119,2020-02-04
陕西省,165,2020-02-05
江西省,548,2020-02-05
北京市,253,2020-02-05
四川省,301,2020-02-05
贵州省,64,2020-02-05
河南省,764,2020-02-05
广西壮族自治区,150,2020-02-05
海南省,91,2020-02-05
吉林省,54,2020-02-05
重庆市,376,2020-02-05
山西省,81,2020-02-05
辽宁省,89,2020-02-05
福建省,205,2020-02-05
新疆维吾尔自治区,32,2020-02-05
湖北省,16678,2020-02-05
上海市,243,2020-02-05
青海省,17,2020-02-05
山东省,307,2020-02-05
湖南省,661,2020-02-05
广东省,895,2020-02-05
天津市,69,2020-02-05
